爬取链接(__url),商户ID(shop_id),商户名(shop_name),商户分类(shop_categories),纬度（腾讯地图）(latitude),经度（腾讯地图）(longitude),人均消费(shop_spend),评分(shop_scores),评论数(shop_comment_num),大家认为(tags),
"http://www.dianping.com/shop/68945767","68945767","龙虾大厨ChefLobster(晶品店)","[""上海餐厅"",""静安寺"",""西餐""]","31.225433","121.446397","88元","[{""score"":""7.8"",""score_title"":""口味""},{""score"":""7.6"",""score_title"":""环境""},{""score"":""8.4"",""score_title"":""服务""}]","499","[{""tag"":""回头客"",""count"":""4""},{""tag"":""干净卫生"",""count"":""8""},{""tag"":""海鲜棒"",""count"":""22""},{""tag"":""肉类好"",""count"":""19""},{""tag"":""高大上"",""count"":""6""},{""tag"":""点心好"",""count"":""31""},{""tag"":""味道赞"",""count"":""79""},{""tag"":""性价比高"",""count"":""41""},{""tag"":""服务热情"",""count"":""48""},{""tag"":""现做现卖"",""count"":""20""}]",
"http://www.dianping.com/shop/21669516","21669516","静茶书院","[""上海休闲娱乐"",""静安寺"",""茶馆""]","31.22495","121.44883","113元","[]","111","[]",
"http://www.dianping.com/shop/66343656","66343656","Flowerworldwide花儿漫(晶品店)","[""上海休闲娱乐"",""静安寺"",""茶馆""]","31.225433","121.446397","36元","[]","111","[{""tag"":""饮品赞"",""count"":""3""},{""tag"":""放松舒服"",""count"":""5""},{""tag"":""环境优雅"",""count"":""10""},{""tag"":""服务热情"",""count"":""11""},{""tag"":""价格实惠"",""count"":""5""},{""tag"":""情侣约会"",""count"":""3""}]",
"http://www.dianping.com/shop/10647608","10647608","1515牛排馆·酒吧","[""上海餐厅"",""静安寺"",""西餐"",""牛排""]","31.22306","121.450641","652元","[{""score"":""7.7"",""score_title"":""口味""},{""score"":""8.9"",""score_title"":""环境""},{""score"":""8.3"",""score_title"":""服务""}]","1528","[{""tag"":""回头客"",""count"":""37""},{""tag"":""歪果仁出没"",""count"":""4""},{""tag"":""干净卫生"",""count"":""7""},{""tag"":""牛肉赞"",""count"":""153""},{""tag"":""高大上"",""count"":""66""},{""tag"":""点心好"",""count"":""70""},{""tag"":""工作餐"",""count"":""109""},{""tag"":""朋友聚餐"",""count"":""20""},{""tag"":""请客"",""count"":""17""},{""tag"":""Brunch"",""count"":""14""}]",
"http://www.dianping.com/shop/27541265","27541265","椒锅锅麻辣香锅(吴江路店)","[""上海餐厅"",""南京西路"",""川菜"",""香锅""]","31.22965","121.46049","60元","[{""score"":""8.1"",""score_title"":""口味""},{""score"":""8.0"",""score_title"":""环境""},{""score"":""8.3"",""score_title"":""服务""}]","1203","[{""tag"":""回头客"",""count"":""56""},{""tag"":""上菜快"",""count"":""17""},{""tag"":""干净卫生"",""count"":""54""},{""tag"":""海鲜棒"",""count"":""5""},{""tag"":""主食赞"",""count"":""11""},{""tag"":""高大上"",""count"":""4""},{""tag"":""牛肉赞"",""count"":""3""},{""tag"":""菜品不错"",""count"":""61""},{""tag"":""味道赞"",""count"":""249""},{""tag"":""分量足"",""count"":""46""}]",
"http://www.dianping.com/shop/6632999","6632999","Wine Connection Bar&Bistro","[""上海餐厅"",""静安寺"",""西餐""]","31.222337","121.440526","141元","[{""score"":""8.3"",""score_title"":""口味""},{""score"":""8.9"",""score_title"":""环境""},{""score"":""8.6"",""score_title"":""服务""}]","496","[{""tag"":""回头客"",""count"":""20""},{""tag"":""有萌宠"",""count"":""6""},{""tag"":""干净卫生"",""count"":""9""},{""tag"":""歪果仁出没"",""count"":""4""},{""tag"":""可带宠物"",""count"":""4""},{""tag"":""下午茶"",""count"":""45""},{""tag"":""Brunch"",""count"":""26""},{""tag"":""工作餐"",""count"":""12""},{""tag"":""朋友聚餐"",""count"":""9""}]",
"http://www.dianping.com/shop/16969800","16969800","SKANDINA(中信泰富广场店)","[""上海餐厅"",""南京西路"",""西餐"",""西式简餐""]","31.2283","121.4559","57元","[{""score"":""8.0"",""score_title"":""口味""},{""score"":""8.3"",""score_title"":""环境""},{""score"":""8.1"",""score_title"":""服务""}]","1036","[{""tag"":""回头客"",""count"":""17""},{""tag"":""干净卫生"",""count"":""22""},{""tag"":""高大上"",""count"":""14""},{""tag"":""牛肉赞"",""count"":""5""},{""tag"":""分量足"",""count"":""49""},{""tag"":""点心好"",""count"":""19""},{""tag"":""味道赞"",""count"":""162""},{""tag"":""环境优雅"",""count"":""141""},{""tag"":""Brunch"",""count"":""187""}]",
"http://www.dianping.com/shop/22331671","22331671","煲好煲","[""上海餐厅"",""静安寺"",""火锅""]","31.216559","121.44781","82元","[{""score"":""8.7"",""score_title"":""口味""},{""score"":""8.2"",""score_title"":""环境""},{""score"":""8.8"",""score_title"":""服务""}]","350","[{""tag"":""回头客"",""count"":""7""},{""tag"":""干净卫生"",""count"":""24""},{""tag"":""高大上"",""count"":""3""},{""tag"":""味道赞"",""count"":""67""},{""tag"":""菜品不错"",""count"":""9""},{""tag"":""分量足"",""count"":""7""},{""tag"":""服务热情"",""count"":""52""},{""tag"":""弄堂小店"",""count"":""23""},{""tag"":""工作餐"",""count"":""7""},{""tag"":""深夜食堂"",""count"":""7""}]",
"http://www.dianping.com/shop/66590686","66590686","豆苗工坊(泰兴路店)","[""上海餐厅"",""南京西路"",""西餐""]","31.228954","121.460072","69元","[{""score"":""7.9"",""score_title"":""口味""},{""score"":""8.5"",""score_title"":""环境""},{""score"":""7.6"",""score_title"":""服务""}]","139","[{""tag"":""菜品健康"",""count"":""22""},{""tag"":""回头客"",""count"":""4""},{""tag"":""干净卫生"",""count"":""9""},{""tag"":""分量足"",""count"":""6""},{""tag"":""味道赞"",""count"":""19""},{""tag"":""环境优雅"",""count"":""11""},{""tag"":""性价比高"",""count"":""4""},{""tag"":""服务热情"",""count"":""5""},{""tag"":""Brunch"",""count"":""11""}]",
"http://www.dianping.com/shop/58021470","58021470","BOTTOMS UP精酿啤酒吧","[""上海休闲娱乐"",""同乐坊"",""酒吧""]","31.22983","121.441815","84元","[{""score"":""9.2"",""score_title"":""口味""},{""score"":""9.0"",""score_title"":""环境""},{""score"":""9.0"",""score_title"":""服务""}]","85","[]",
"http://www.dianping.com/shop/500417","500417","梅龙镇酒家(总店)","[""上海餐厅"",""南京西路"",""本帮江浙菜""]","31.227994","121.457017","193元","[{""score"":""7.7"",""score_title"":""口味""},{""score"":""8.0"",""score_title"":""环境""},{""score"":""7.3"",""score_title"":""服务""}]","3301","[{""tag"":""回头客"",""count"":""94""},{""tag"":""干净卫生"",""count"":""33""},{""tag"":""请客"",""count"":""129""},{""tag"":""弄堂小店"",""count"":""57""},{""tag"":""家庭聚餐"",""count"":""49""},{""tag"":""现做现卖"",""count"":""20""},{""tag"":""朋友聚餐"",""count"":""17""},{""tag"":""年会"",""count"":""15""},{""tag"":""老洋房"",""count"":""13""},{""tag"":""公司聚餐"",""count"":""10""}]",
"http://www.dianping.com/shop/58212320","58212320","九州场·日式料理店(江苏路店)","[""上海餐厅"",""中山公园"",""日本菜"",""日本料理""]","31.21817","121.4311","92元","[{""score"":""8.1"",""score_title"":""口味""},{""score"":""8.1"",""score_title"":""环境""},{""score"":""7.9"",""score_title"":""服务""}]","502","[{""tag"":""回头客"",""count"":""16""},{""tag"":""上菜快"",""count"":""11""},{""tag"":""撸串圣地"",""count"":""5""},{""tag"":""干净卫生"",""count"":""9""},{""tag"":""牛肉赞"",""count"":""11""},{""tag"":""主食赞"",""count"":""10""},{""tag"":""味道赞"",""count"":""71""},{""tag"":""菜品不错"",""count"":""24""},{""tag"":""服务热情"",""count"":""76""},{""tag"":""环境优雅"",""count"":""33""}]",
"http://www.dianping.com/shop/9043409","9043409","竹若金枪鱼(缤谷广场店)","[""上海餐厅"",""天山"",""日本菜"",""日本料理""]","31.21431","121.3863","258元","[{""score"":""8.0"",""score_title"":""口味""},{""score"":""8.1"",""score_title"":""环境""},{""score"":""7.5"",""score_title"":""服务""}]","6309","[{""tag"":""回头客"",""count"":""518""},{""tag"":""上菜快"",""count"":""300""},{""tag"":""干净卫生"",""count"":""155""},{""tag"":""海鲜棒"",""count"":""104""},{""tag"":""牛肉赞"",""count"":""71""},{""tag"":""高大上"",""count"":""21""},{""tag"":""公司聚餐"",""count"":""112""},{""tag"":""朋友聚餐"",""count"":""99""},{""tag"":""请客"",""count"":""70""},{""tag"":""工作餐"",""count"":""46""}]",
"http://www.dianping.com/shop/2735389","2735389","皇朝尊会","[""上海餐厅"",""上海影城/新华路"",""粤菜"",""粤菜馆""]","31.211098","121.430668","204元","[{""score"":""8.3"",""score_title"":""口味""},{""score"":""8.6"",""score_title"":""环境""},{""score"":""7.9"",""score_title"":""服务""}]","1081","[{""tag"":""回头客"",""count"":""46""},{""tag"":""干净卫生"",""count"":""18""},{""tag"":""海鲜棒"",""count"":""9""},{""tag"":""高大上"",""count"":""20""},{""tag"":""点心好"",""count"":""97""},{""tag"":""请客"",""count"":""68""},{""tag"":""下午茶"",""count"":""54""},{""tag"":""家庭聚餐"",""count"":""18""},{""tag"":""年会"",""count"":""11""},{""tag"":""朋友聚餐"",""count"":""10""},{""tag"":""工作餐"",""count"":""4""}]",
"http://www.dianping.com/shop/21606663","21606663","廣屋(武夷路店)","[""上海餐厅"",""中山公园"",""日本菜"",""日本料理""]","31.21296","121.4233","219元","[{""score"":""8.3"",""score_title"":""口味""},{""score"":""8.3"",""score_title"":""环境""},{""score"":""7.9"",""score_title"":""服务""}]","1265","[{""tag"":""回头客"",""count"":""73""},{""tag"":""干净卫生"",""count"":""27""},{""tag"":""海鲜棒"",""count"":""10""},{""tag"":""肉类好"",""count"":""44""},{""tag"":""主食赞"",""count"":""16""},{""tag"":""菜品不错"",""count"":""97""},{""tag"":""味道赞"",""count"":""205""},{""tag"":""工作餐"",""count"":""25""},{""tag"":""深夜食堂"",""count"":""22""},{""tag"":""朋友聚餐"",""count"":""13""}]",
"http://www.dianping.com/shop/21401559","21401559","晓あかつき海鲜居酒屋","[""上海餐厅"",""虹桥"",""海鲜""]","31.203732","121.403979","267元","[{""score"":""8.9"",""score_title"":""口味""},{""score"":""8.3"",""score_title"":""环境""},{""score"":""8.4"",""score_title"":""服务""}]","214","[{""tag"":""回头客"",""count"":""5""},{""tag"":""干净卫生"",""count"":""5""},{""tag"":""海鲜棒"",""count"":""5""},{""tag"":""肉类好"",""count"":""13""},{""tag"":""菜品不错"",""count"":""21""},{""tag"":""味道赞"",""count"":""44""},{""tag"":""服务热情"",""count"":""33""},{""tag"":""环境优雅"",""count"":""9""},{""tag"":""深夜食堂"",""count"":""11""}]",
