爬取链接(__url),商户ID(shop_id),商户名(shop_name),商户分类(shop_categories),纬度（腾讯地图）(latitude),经度（腾讯地图）(longitude),人均消费(shop_spend),评分(shop_scores),评论数(shop_comment_num),大家认为(tags),
"http://www.dianping.com/shop/66236194","66236194","争鲜回转寿司(宝乐汇店)","[""上海餐厅"",""宝山城区"",""日本菜"",""寿司/简餐""]","31.399564","121.484977","53元","[{""score"":""7.8"",""score_title"":""口味""},{""score"":""8.2"",""score_title"":""环境""},{""score"":""7.8"",""score_title"":""服务""}]","2302","[{""tag"":""回头客"",""count"":""186""},{""tag"":""菜品健康"",""count"":""45""},{""tag"":""上菜快"",""count"":""16""},{""tag"":""干净卫生"",""count"":""208""},{""tag"":""肉类好"",""count"":""34""},{""tag"":""高大上"",""count"":""7""},{""tag"":""味道赞"",""count"":""323""},{""tag"":""环境优雅"",""count"":""279""},{""tag"":""服务热情"",""count"":""523""},{""tag"":""朋友聚餐"",""count"":""13""}]",
"http://www.dianping.com/shop/21169816","21169816","星巴克(殷高西路店)","[""上海餐厅"",""高境"",""咖啡厅"",""星巴克""]","31.3205","121.47188","38元","[{""score"":""8.4"",""score_title"":""口味""},{""score"":""8.4"",""score_title"":""环境""},{""score"":""8.3"",""score_title"":""服务""}]","254","[{""tag"":""回头客"",""count"":""12""},{""tag"":""干净卫生"",""count"":""4""},{""tag"":""味道赞"",""count"":""15""},{""tag"":""服务热情"",""count"":""39""},{""tag"":""环境优雅"",""count"":""15""},{""tag"":""性价比高"",""count"":""3""},{""tag"":""网红店"",""count"":""3""},{""tag"":""下午茶"",""count"":""26""},{""tag"":""早餐"",""count"":""10""},{""tag"":""圣诞"",""count"":""6""}]",
"http://www.dianping.com/shop/69879250","69879250","新概念东北菜","[""上海餐厅"",""庙行/共康"",""东北菜""]","31.3358299502715","121.43837941736832","64元","[{""score"":""7.7"",""score_title"":""口味""},{""score"":""8.2"",""score_title"":""环境""},{""score"":""7.7"",""score_title"":""服务""}]","118","[{""tag"":""回头客"",""count"":""5""},{""tag"":""上菜快"",""count"":""4""},{""tag"":""干净卫生"",""count"":""10""},{""tag"":""高大上"",""count"":""3""},{""tag"":""肉类好"",""count"":""11""},{""tag"":""菜品不错"",""count"":""15""},{""tag"":""味道赞"",""count"":""28""},{""tag"":""环境优雅"",""count"":""26""},{""tag"":""分量足"",""count"":""3""},{""tag"":""服务热情"",""count"":""14""}]",
"http://www.dianping.com/shop/58201352","58201352","牧牛童潮汕牛肉火锅","[""上海餐厅"",""宝山区"",""火锅""]","31.354994","121.412683","107元","[{""score"":""8.5"",""score_title"":""口味""},{""score"":""8.6"",""score_title"":""环境""},{""score"":""8.2"",""score_title"":""服务""}]","786","[{""tag"":""回头客"",""count"":""61""},{""tag"":""上菜快"",""count"":""3""},{""tag"":""干净卫生"",""count"":""43""},{""tag"":""牛肉赞"",""count"":""106""},{""tag"":""味道赞"",""count"":""150""},{""tag"":""菜品不错"",""count"":""23""},{""tag"":""服务热情"",""count"":""152""},{""tag"":""环境优雅"",""count"":""90""},{""tag"":""停车方便"",""count"":""5""}]",
"http://www.dianping.com/shop/69908856","69908856","無語串烧","[""上海餐厅"",""大华地区"",""日本菜"",""日式烧烤/铁板烧""]","31.268925","121.414884","109元","[{""score"":""7.6"",""score_title"":""口味""},{""score"":""8.2"",""score_title"":""环境""},{""score"":""7.8"",""score_title"":""服务""}]","217","[{""tag"":""干净卫生"",""count"":""16""},{""tag"":""回头客"",""count"":""5""},{""tag"":""撸串圣地"",""count"":""4""},{""tag"":""牛肉赞"",""count"":""7""},{""tag"":""主食赞"",""count"":""4""},{""tag"":""菜品不错"",""count"":""10""},{""tag"":""味道赞"",""count"":""35""},{""tag"":""环境优雅"",""count"":""25""},{""tag"":""服务热情"",""count"":""45""}]",
"http://www.dianping.com/shop/67113564","67113564","蚝不鱿鱼","[""上海餐厅"",""大华地区"",""海鲜""]","31.279329","121.405119","132元","[{""score"":""7.9"",""score_title"":""口味""},{""score"":""8.1"",""score_title"":""环境""},{""score"":""8.0"",""score_title"":""服务""}]","586","[{""tag"":""回头客"",""count"":""41""},{""tag"":""上菜快"",""count"":""15""},{""tag"":""干净卫生"",""count"":""29""},{""tag"":""海鲜棒"",""count"":""16""},{""tag"":""菜品不错"",""count"":""52""},{""tag"":""味道赞"",""count"":""111""},{""tag"":""分量足"",""count"":""13""},{""tag"":""环境优雅"",""count"":""58""},{""tag"":""深夜食堂"",""count"":""20""},{""tag"":""开放厨房"",""count"":""7""}]",
"http://www.dianping.com/shop/67210459","67210459","鱼蛙之恋(重庆美蛙鱼头)","[""上海餐厅"",""宝山城区"",""火锅""]","31.403758","121.479278","86元","[{""score"":""8.3"",""score_title"":""口味""},{""score"":""8.4"",""score_title"":""环境""},{""score"":""8.7"",""score_title"":""服务""}]","200","[{""tag"":""回头客"",""count"":""7""},{""tag"":""菜品健康"",""count"":""8""},{""tag"":""干净卫生"",""count"":""13""},{""tag"":""味道赞"",""count"":""46""},{""tag"":""分量足"",""count"":""5""},{""tag"":""性价比高"",""count"":""23""},{""tag"":""环境优雅"",""count"":""13""},{""tag"":""服务热情"",""count"":""41""},{""tag"":""价格实惠"",""count"":""7""}]",
"http://www.dianping.com/shop/23603944","23603944","五芳斋(殷高西路店)","[""上海餐厅"",""高境"",""小吃快餐"",""小吃""]","31.320676","121.471839","24元","[{""score"":""7.7"",""score_title"":""口味""},{""score"":""7.9"",""score_title"":""环境""},{""score"":""7.7"",""score_title"":""服务""}]","207","[{""tag"":""回头客"",""count"":""10""},{""tag"":""干净卫生"",""count"":""43""},{""tag"":""肉类好"",""count"":""7""},{""tag"":""味道赞"",""count"":""30""},{""tag"":""环境优雅"",""count"":""24""},{""tag"":""菜品不错"",""count"":""6""},{""tag"":""性价比高"",""count"":""25""},{""tag"":""价格实惠"",""count"":""9""},{""tag"":""服务热情"",""count"":""19""}]",
"http://www.dianping.com/shop/69206201","69206201","卤国夫人(万达广场宝山店)","[""上海餐厅"",""庙行/共康"",""其他"",""其他中餐""]","31.323739","121.447071","28元","[{""score"":""7.9"",""score_title"":""口味""},{""score"":""8.4"",""score_title"":""环境""},{""score"":""8.4"",""score_title"":""服务""}]","73","[{""tag"":""干净卫生"",""count"":""14""},{""tag"":""主食赞"",""count"":""8""},{""tag"":""肉类好"",""count"":""6""},{""tag"":""味道赞"",""count"":""17""},{""tag"":""分量足"",""count"":""3""},{""tag"":""服务热情"",""count"":""9""},{""tag"":""性价比高"",""count"":""6""},{""tag"":""环境优雅"",""count"":""4""},{""tag"":""午餐"",""count"":""8""},{""tag"":""街边小店"",""count"":""4""}]",
"http://www.dianping.com/shop/16812846","16812846","尊宝比萨(上海大学店)","[""上海餐厅"",""大宁地区"",""西餐"",""比萨""]","31.280388","121.463977","56元","[{""score"":""8.4"",""score_title"":""口味""},{""score"":""8.2"",""score_title"":""环境""},{""score"":""8.2"",""score_title"":""服务""}]","1185","[{""tag"":""回头客"",""count"":""99""},{""tag"":""上菜快"",""count"":""22""},{""tag"":""干净卫生"",""count"":""51""},{""tag"":""肉类好"",""count"":""20""},{""tag"":""味道赞"",""count"":""233""},{""tag"":""分量足"",""count"":""17""},{""tag"":""性价比高"",""count"":""213""},{""tag"":""点心好"",""count"":""5""},{""tag"":""价格实惠"",""count"":""97""},{""tag"":""环境优雅"",""count"":""58""}]",
