__url,shop_id,shop_name,shop_categories,shop_rank,latitude,longitude,shop_spend,shop_scores,shop_comment_num,tags
"http://www.dianping.com/shop/586620","586620","柚子(虹桥店)","[""上海餐厅"",""虹桥"",""日本菜"",""日本料理""]","准五星商户","31.204067","121.408299","247元","[{""score"":""8.4"",""score_title"":""口味""},{""score"":""8.1"",""score_title"":""环境""},{""score"":""8.3"",""score_title"":""服务""}]","8052","[{""tag"":""回头客"",""count"":""407""},{""tag"":""上菜快"",""count"":""388""},{""tag"":""干净卫生"",""count"":""128""},{""tag"":""海鲜棒"",""count"":""118""},{""tag"":""请客"",""count"":""170""},{""tag"":""公司聚餐"",""count"":""161""},{""tag"":""朋友聚餐"",""count"":""101""},{""tag"":""工作餐"",""count"":""53""},{""tag"":""年会"",""count"":""46""},{""tag"":""家庭聚餐"",""count"":""19""}]",
"http://www.dianping.com/shop/69296520","69296520","Nami&apos;s Daddy(奈美老爹吮指串串)","[""上海餐厅"",""上海影城/新华路"",""火锅""]","准五星商户","31.209296","121.424015","114元","[{""score"":""8.9"",""score_title"":""口味""},{""score"":""8.3"",""score_title"":""环境""},{""score"":""8.6"",""score_title"":""服务""}]","476","[{""tag"":""有萌宠"",""count"":""19""},{""tag"":""撸串圣地"",""count"":""18""},{""tag"":""回头客"",""count"":""13""},{""tag"":""干净卫生"",""count"":""29""},{""tag"":""牛肉赞"",""count"":""16""},{""tag"":""主食赞"",""count"":""3""},{""tag"":""味道赞"",""count"":""118""},{""tag"":""菜品不错"",""count"":""22""},{""tag"":""环境优雅"",""count"":""28""},{""tag"":""深夜食堂"",""count"":""26""}]",
"http://www.dianping.com/shop/48151042","48151042","Oji cocktail & whisky shanghai","[""上海休闲娱乐"",""南京西路"",""酒吧""]","五星商户","31.22857","121.46009","187元","[{""score"":""9.2"",""score_title"":""口味""},{""score"":""9.2"",""score_title"":""环境""},{""score"":""9.2"",""score_title"":""服务""}]","217","[{""tag"":""放松舒服"",""count"":""10""},{""tag"":""环境优雅"",""count"":""15""},{""tag"":""服务热情"",""count"":""16""},{""tag"":""氛围好"",""count"":""8""},{""tag"":""日式"",""count"":""23""},{""tag"":""周末玩"",""count"":""6""},{""tag"":""价格高"",""count"":""5""}]",
"http://www.dianping.com/shop/23515249","23515249","日葵大阪烧(星空广场店)","[""上海餐厅"",""虹桥"",""日本菜"",""日式烧烤/铁板烧""]","准五星商户","31.20084","121.39224","106元","[{""score"":""8.9"",""score_title"":""口味""},{""score"":""8.7"",""score_title"":""环境""},{""score"":""8.8"",""score_title"":""服务""}]","1555","[{""tag"":""回头客"",""count"":""102""},{""tag"":""干净卫生"",""count"":""29""},{""tag"":""牛肉赞"",""count"":""25""},{""tag"":""海鲜棒"",""count"":""7""},{""tag"":""菜品不错"",""count"":""91""},{""tag"":""味道赞"",""count"":""346""},{""tag"":""朋友聚餐"",""count"":""16""},{""tag"":""工作餐"",""count"":""14""},{""tag"":""家庭聚餐"",""count"":""6""},{""tag"":""现做现卖"",""count"":""6""}]",
"http://www.dianping.com/shop/76961537","76961537","OVERDOSE","[""上海餐厅"",""静安寺"",""日本菜"",""日式烧烤/铁板烧""]","五星商户","31.215282","121.439734","124元","[{""score"":""8.8"",""score_title"":""口味""},{""score"":""9.0"",""score_title"":""环境""},{""score"":""9.1"",""score_title"":""服务""}]","120","[{""tag"":""撸串圣地"",""count"":""8""},{""tag"":""干净卫生"",""count"":""7""},{""tag"":""主食赞"",""count"":""6""},{""tag"":""菜品不错"",""count"":""8""},{""tag"":""味道赞"",""count"":""21""},{""tag"":""环境优雅"",""count"":""11""},{""tag"":""服务热情"",""count"":""20""},{""tag"":""深夜食堂"",""count"":""12""},{""tag"":""街边小店"",""count"":""24""}]",
"http://www.dianping.com/shop/501343","501343","味藏(旗舰店)","[""上海餐厅"",""虹桥"",""日本菜"",""日本料理""]","准五星商户","31.205858","121.40337","116元","[{""score"":""8.7"",""score_title"":""口味""},{""score"":""8.1"",""score_title"":""环境""},{""score"":""8.4"",""score_title"":""服务""}]","2964","[{""tag"":""回头客"",""count"":""159""},{""tag"":""上菜快"",""count"":""30""},{""tag"":""干净卫生"",""count"":""52""},{""tag"":""海鲜棒"",""count"":""23""},{""tag"":""工作餐"",""count"":""265""},{""tag"":""朋友聚餐"",""count"":""41""},{""tag"":""请客"",""count"":""25""},{""tag"":""深夜食堂"",""count"":""20""},{""tag"":""下午茶"",""count"":""11""},{""tag"":""公司聚餐"",""count"":""4""}]",
"http://www.dianping.com/shop/24972421","24972421","食索SALE&PEPE(800show)","[""上海餐厅"",""同乐坊"",""西餐"",""意大利菜""]","准五星商户","31.2334","121.44323","210元","[{""score"":""8.6"",""score_title"":""口味""},{""score"":""9.1"",""score_title"":""环境""},{""score"":""9.1"",""score_title"":""服务""}]","2126","[{""tag"":""回头客"",""count"":""69""},{""tag"":""歪果仁出没"",""count"":""11""},{""tag"":""干净卫生"",""count"":""16""},{""tag"":""下午茶"",""count"":""280""},{""tag"":""工作餐"",""count"":""112""},{""tag"":""Brunch"",""count"":""46""},{""tag"":""开放厨房"",""count"":""28""},{""tag"":""现做现卖"",""count"":""18""}]",
"http://www.dianping.com/shop/68226631","68226631","Favorita意大利餐厅(新闸路店)","[""上海餐厅"",""南京西路"",""西餐"",""意大利菜""]","五星商户","31.231898","121.451492","208元","[{""score"":""9.0"",""score_title"":""口味""},{""score"":""8.9"",""score_title"":""环境""},{""score"":""9.0"",""score_title"":""服务""}]","106","[{""tag"":""回头客"",""count"":""4""},{""tag"":""海鲜棒"",""count"":""5""},{""tag"":""牛肉赞"",""count"":""7""},{""tag"":""味道赞"",""count"":""31""},{""tag"":""菜品不错"",""count"":""6""},{""tag"":""环境优雅"",""count"":""20""},{""tag"":""服务热情"",""count"":""19""},{""tag"":""性价比高"",""count"":""6""},{""tag"":""价格实惠"",""count"":""4""}]",
"http://www.dianping.com/shop/24940942","24940942","富临轩(梅龙镇广场店)","[""上海餐厅"",""南京西路"",""粤菜"",""粤菜馆""]","准五星商户","31.22862","121.45682","187元","[{""score"":""8.9"",""score_title"":""口味""},{""score"":""8.9"",""score_title"":""环境""},{""score"":""8.8"",""score_title"":""服务""}]","1173","[{""tag"":""回头客"",""count"":""45""},{""tag"":""干净卫生"",""count"":""47""},{""tag"":""高大上"",""count"":""38""},{""tag"":""肉类好"",""count"":""85""},{""tag"":""海鲜棒"",""count"":""8""},{""tag"":""家庭聚餐"",""count"":""32""},{""tag"":""下午茶"",""count"":""29""},{""tag"":""请客"",""count"":""29""},{""tag"":""朋友聚餐"",""count"":""15""},{""tag"":""工作餐"",""count"":""6""}]",
"http://www.dianping.com/shop/22743778","22743778","Light & Salt Daily(光与盐陕西北路店)","[""上海餐厅"",""南京西路"",""西餐""]","准五星商户","31.23011","121.45292","300元","[{""score"":""8.3"",""score_title"":""口味""},{""score"":""9.1"",""score_title"":""环境""},{""score"":""9.0"",""score_title"":""服务""}]","1136","[{""tag"":""回头客"",""count"":""11""},{""tag"":""干净卫生"",""count"":""11""},{""tag"":""牛肉赞"",""count"":""37""},{""tag"":""海鲜棒"",""count"":""11""},{""tag"":""高大上"",""count"":""17""},{""tag"":""下午茶"",""count"":""330""},{""tag"":""Brunch"",""count"":""110""},{""tag"":""工作餐"",""count"":""22""},{""tag"":""别墅"",""count"":""16""},{""tag"":""朋友聚餐"",""count"":""14""}]",
